latitude,longitude,stateName,countyName,height_above_gnd,elev_ft,hwm_id,hwm_environment
33.69972,-78.93694,SC,Horry County,0,3.84,33497,Coastal
33.75861,-78.79278,SC,Horry County,0,4.83,33498,Coastal
33.6413888888889,-78.9477777777778,SC,Horry County,0,6.36,33499,Coastal
33.6025,-78.9738888888889,SC,Horry County,0,5.02,33500,Coastal
33.5797222222222,-79.0033333333333,SC,Horry County,0,4.26,33501,Coastal
35.342089,-78.041553,NC,Wayne County,0.57,73.1,33502,Riverine
35.378963,-78.010596,NC,Wayne County,0.83,73.13,33503,Riverine
35.216282,-78.935229,NC,Cumberland County,8.06,139.3,33505,Riverine
34.9695662,-78.9353504,NC,Cumberland County,4.49,97.84,33506,Riverine
35.1998591,-78.9602956,NC,Cumberland County,5.38,155.21,33508,Riverine
35.405381,-78.022587,NC,Wayne County,1.72,74.23,33509,Riverine
35.1940704,-78.9853602,NC,Cumberland County,1,160.86,33510,Riverine
34.9663799,-78.9171345,NC,Cumberland County,1.42,87.29,33511,Riverine
35.42691,-78.01758,NC,Wayne County,0.41,81.81,33512,Riverine
34.961645,-78.9243248,NC,Cumberland County,2.14,92.2,33513,Riverine
34.9608799,-78.9419533,NC,Cumberland County,1.62,93.53,33514,Riverine
35.35355,-78.007,NC,Wayne County,0.44,70.53,33515,Riverine
33.5619444444444,-79.0855555555555,SC,Georgetown County,6.86,5.83,33516,Coastal
35.3482,-77.99481,NC,Wayne County,0.69,69.58,33517,Riverine
35.385409,-78.037678,NC,Wayne County,0.37,73.9,33518,Riverine
35.348886,-77.980361,NC,Wayne County,0,69.2,33519,Riverine
35.339583,-78.030802,NC,Wayne County,0.68,71.36,33520,Riverine
35.360298,-77.975548,NC,Wayne County,0.58,77.17,33521,Riverine
35.1971703,-78.9888122,NC,Cumberland County,1.33,160.14,33522,Riverine
35.375728,-77.961807,NC,Wayne County,0.41,77.34,33524,Riverine
33.5547222222222,-79.0341666666667,SC,Georgetown County,0,4.08,33526,Coastal
35.193238,-78.987375,NC,Cumberland County,8.9,161.24,33531,Riverine
35.1861926,-79.0157895,NC,Cumberland County,3.45,168.06,33533,Riverine
35.38593,-77.956546,NC,Wayne County,4,87.9,33534,Riverine
35.40067,-77.9575,NC,Wayne County,1.46,93.24,33535,Riverine
35.0661463,-78.8911244,NC,Cumberland County,2.53,99.05,33536,Riverine
35.104357,-77.018073,NC,Craven County,6.95,10.84,33537,Riverine
35.071503,-77.109185,NC,Craven County,0,10.06,33538,Riverine
35.104962,-77.037805,NC,Craven County,2.1,10.24,33539,Riverine
35.110039,-77.037436,NC,Craven County,3.81,10,33540,Coastal
35.077428,-77.064072,NC,Craven County,2.15,10.29,33541,Riverine
