latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
37.29844,-80.00775,37.29844,-80.00775,2018 Florence,Other (Note in Description box),VP: > 0.40 ft,NAVD88,Level Gun,,Not marked,Static-GNSS,NAD83,Amanda Hodges,Amanda Hodges,VAROA26875,"PETERS CREEK AT ROUTE 117 AT ROANOKE, VA",,,VA,Roanoke City,,No,37.29844,-80.00775,33496,Peters Creek,26875,283,9,5,"Washline, 5ft downstream of wingwall. hard to tell if the line is from the previous event on 9/12",9/18/2018 4:00:00 AM,1002.34,2,2,Right,,8,,2,,,Riverine,9/18/2018 4:00:00 AM,0,2,821,821,0.001,1,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.69972,-78.93694,33.69972,-78.93694,2018 Florence,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Andy Caldwell,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR17781,"UNNAMED TRIB TO AIW @ US 17, NR FOREST BROOK SC",,South Atlantic,SC,Horry County,,No,33.69972,-78.93694,33497,Unnamed Trib,17781,283,5,2,Seed line on wall 3 feet upstream of storm surge bracket.,9/20/2018 4:00:00 AM,3.84,2,6,N/A,19036,4,0,3,,This HWM used for verification of storm surge.,Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.07,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.75861,-78.79278,33.75861,-78.79278,2018 Florence,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR17780,"SINGLETON  SWASH,END OF SHORE DR, BRIARCLIFFACRES, SC",,South Atlantic,SC,Horry County,,No,33.75861,-78.79278,33498,Singleton Swash,17780,283,2,3,Debris line in parking lot at Sands Beach CLub,9/20/2018 4:00:00 AM,4.83,2,6,N/A,19033,,0,3,,This HWM used for verification of storm surge.,Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.05,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.6413888888889,-78.9477777777778,33.6413888888889,-78.9477777777778,2018 Florence,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14335,Swash at Pirateland Campground at US 17 in Horry County,,South Atlantic,SC,Horry County,,No,33.6413888888889,-78.9477777777778,33499,Unnamed swash,14335,283,2,3,Debris line downstream of bracket.,9/20/2018 4:00:00 AM,6.36,2,6,N/A,19032,,0,3,,This HWM used for verification of storm surge.,Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.07,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.6025,-78.9738888888889,33.6025,-78.9738888888889,2018 Florence,Other (Note in Description box),Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Stake,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14328,"SURFSIDE BEACH AT 3RD AVENUE SOUTH SWASH,SC",,South Atlantic,SC,Horry County,,No,33.6025,-78.9738888888889,33500,Surfside Beach Swash,14328,283,9,3,Cut/wash line in sand.,9/20/2018 4:00:00 AM,5.02,2,6,N/A,19027,7,0,3,,"This HWM used for verification of storm surge. From HWM images, mark may have been surveyed on lower cut line which seems reasonable.",Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.04,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.5797222222222,-79.0033333333333,33.5797222222222,-79.0033333333333,2018 Florence,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Tape,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14327,"AIW at Atlantic Ave. near Garden City, SC",,South Atlantic,SC,Horry County,,No,33.5797222222222,-79.0033333333333,33501,AIW,14327,283,2,3,Large debris line on opposite bank from bracket near restaurant.,9/20/2018 4:00:00 AM,4.26,2,6,N/A,19025,2,0,3,,This HWM used for verification of storm surge.,Coastal,9/17/2018 4:00:00 AM,0,2,1381,1381,0.01,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.342089,-78.041553,35.342089,-78.041553,2018 Florence,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Steve Harden,,Phone/Car GPS,WGS84 (from Digital Map),Anthony Gotvald,Gerard Gonthier,NCWAY18746,Residence on Croom Dr,,,NC,Wayne County,,No,35.341981,-78.041385,33502,Neuse River,18746,283,5,1,"HWM is seed line on foundation, right front corner of house.",9/26/2018 4:00:00 AM,73.1,2,6,N/A,19314,,0.57,3,,Level II survey,Riverine,9/21/2018 4:00:00 AM,0,4,6,1919,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.378963,-78.010596,35.378963,-78.010596,2018 Florence,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),Anthony Gotvald,Anthony Gotvald,NCWAY18748,H.V. Brown Park,,,NC,Wayne County,,No,35.378963,-78.010596,33503,Neuse River,18748,283,5,3,"HWM on back corner post of picnic pavilion #2, between playground and basketball courts.",9/23/2018 4:00:00 AM,73.13,2,6,N/A,18051,6,0.83,3,,Level II Survey,Riverine,9/20/2018 4:00:00 AM,0,4,6,6,0.02,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.197056,-78.9657032,35.197056,-78.9657032,2018 Florence,Seed line,Excellent: +/- 0.05 ft,,,Anthony Gotvald,Marker,Phone/Car GPS,NAD83,Cristal Younker,,NCCUM26901,Spring Lake Wastewater Treatment Plant,,,NC,Cumberland County,,No,35.197056,-78.9657032,33504,Little River,26901,283,5,1,"Seedline on interior of equipment shed, leveled out to right side of door threshold. Line is marked in sharpie with yellow paint identifying mark and date.",,,,,N/A,19311,4,6.02,3,,The elevation of this HWM could not be determined.,Riverine,9/20/2018 4:00:00 AM,0,2,1715,,,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.216282,-78.935229,35.216282,-78.935229,2018 Florence,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Paul Ankcorn,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Paul Ankcorn,NCCUM18704,McCormick Bridge Rd at Little River,,,NC,Cumberland County,,No,35.216282,-78.935229,33505,Little River,18704,283,2,4,Debris line on pine tree located 450 feet SE of right bridge abutment on N side of road,9/23/2018 4:00:00 AM,139.3,2,6,Right,18073,6,8.06,3,,Level II Survey. Estimated HWM location from photos and Google Earth.,Riverine,9/20/2018 4:00:00 AM,0,2,1715,873,0.2,,HWM-01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
